央视,#genre#
CCTV-14 少儿(备3),http://60.10.139.113:8801/hls/13/index.m3u8
CCTV-15 音乐,http://222.223.41.27:8888/hls/15/index.m3u8
CCTV-15 音乐(备1),http://124.228.160.210:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐(备2),http://153.0.171.163:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐(备3),http://60.10.139.113:8801/hls/97/index.m3u8
CCTV-15 音乐(备4),https://piccpndks.v.kcdnvip.com/audio/cctv15_2/index.m3u8
CCTV-16 奥林匹克,http://121.57.88.206:898/hls/16/index.m3u8
CCTV-16 奥林匹克(备1),http://173.208.212.130:8181/720p/cctv16.m3u8
CCTV-17 农业农村,http://121.57.88.206:898/hls/17/index.m3u8
CCTV-17 农业农村(备1),http://173.208.212.130:8181/720p/cctv17.m3u8
CCTV-4K 超高清,http://198.204.240.250:82/live/cctv4k.m3u8
